46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/sertification.css HTTP/1.1" 200 2555 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/portfolio.css HTTP/1.1" 200 3191 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/form.css HTTP/1.1" 200 366 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /css/toasts.css HTTP/1.1" 200 1021 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /module/photoswipe-ui-default.js HTTP/1.1" 200 22365 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /js/state.js HTTP/1.1" 200 997 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /js/clientDevice.js HTTP/1.1" 200 4530 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /js/preloader.js HTTP/1.1" 200 8584 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /js/lazyLoader.js HTTP/1.1" 200 5914 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /js/hiBgImageTransform.js HTTP/1.1" 200 3412 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /js/fullscreenSlider.js HTTP/1.1" 200 14322 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /js/menu.js HTTP/1.1" 200 21891 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /js/parallaxScroll.js HTTP/1.1" 200 5700 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /js/cube3d.js HTTP/1.1" 200 16638 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:15:13:30 +0000] "GET /module/photoswipe.js HTTP/1.1" 200 97778 "http://35.228.201.176/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
